t_min, t_min_minus, t_min_plus, depth, depth_minus, depth_plus, width, width_minus, widthplus, area, area_minus, area_plus, t0, t0_minus, t0_plus, ti, ti_minus, ti_plus, te, te_minus, te_plus, a, a_minus,a_plus,id, w1m, tom, tnt
2460710.373,0.00032,0.00022,0.06765,0.00523,0.00636,0.00264,0.0002,0.0002,0.00018,0.00001,0.00001,2460710.373,0.00026,0.00032,0.00037,0.00021,0.00019,0.00148,0.0003,0.00034,0.11693,0.01602,0.01529,1,0,0,1
2460710.4,0.00023,0.00022,0.14246,0.00209,0.00217,0.01505,0.00031,0.00031,0.00214,0.00004,0.00004,2460710.398,0.00038,0.0004,0.00278,0.00019,0.0002,0.00672,0.00039,0.00039,0.30382,0.00859,0.00855,2,0,0,1
2460712.246,0.00048,0.00053,0.12134,0.00491,0.005,0.01884,0.00121,0.00127,0.00229,0.00015,0.00015,2460712.245,0.00016,0.0002,0.00043,0.00014,0.00017,0.01567,0.00133,0.00144,0.1562,0.00823,0.00879,2,0,0,1
2460712.359,0.00019,0.00019,0.11625,0.00362,0.00382,0.00802,0.00029,0.00029,0.00093,0.00003,0.00003,2460712.357,0.00025,0.00028,0.00115,0.00015,0.00016,0.0042,0.00033,0.00035,0.22147,0.0114,0.01154,3,0,0,1
2460712.381,0.0002,0.00022,0.08539,0.00618,0.00651,0.00309,0.00022,0.00023,0.00026,0.00002,0.00002,2460712.381,0.00024,0.00034,0.00049,0.00015,0.00018,0.00157,0.00029,0.00029,0.16081,0.01703,0.01721,4,0,0,1
2460712.417,0.0002,0.00021,0.08067,0.00414,0.00406,0.0081,0.00047,0.00049,0.00065,0.00004,0.00004,2460712.416,0.0001,0.0001,0.00031,0.00008,0.0001,0.00645,0.0005,0.00056,0.10584,0.00609,0.0061,5,0,0,1
2460712.57,0.00043,0.00044,0.13494,0.01087,0.01124,0.01124,0.00095,0.00101,0.00152,0.00013,0.00014,2460712.568,0.00032,0.00032,0.00067,0.00019,0.00022,0.00796,0.00101,0.00117,0.205,0.02218,0.02401,0,1,0,0
2460713.453,0.00027,0.00023,0.04844,0.00531,0.00543,0.00364,0.00043,0.00046,0.00018,0.00002,0.00002,2460713.452,0.00022,0.00025,0.00033,0.00013,0.00017,0.00238,0.00055,0.00069,0.07357,0.01205,0.01388,1,0,0,1
2460713.593,0.00049,0.00049,0.13483,0.00926,0.00975,0.00924,0.00076,0.00082,0.00125,0.0001,0.00011,2460713.592,0.00043,0.00057,0.00101,0.00032,0.00042,0.00537,0.00077,0.00089,0.24118,0.02527,0.0269,3,1,0,0
2460713.614,0.00037,0.00044,0.09882,0.01177,0.01241,0.00422,0.0006,0.00072,0.00042,0.00006,0.00007,2460713.613,0.00039,0.00066,0.00054,0.00022,0.00035,0.00231,0.00069,0.00088,0.17737,0.03234,0.03518,4,1,0,0
2460714.424,0.00045,0.00051,0.09669,0.01646,0.01823,0.00887,0.00235,0.00379,0.00086,0.00023,0.00037,2460714.423,0.00056,0.00032,0.00034,0.00022,0.00027,0.00691,0.00252,0.00472,0.13008,0.02838,0.03271,0,0,0,1
2460714.72,0.00062,0.00063,0.14271,0.00476,0.00468,0.01559,0.00074,0.00076,0.00222,0.00011,0.00011,2460714.718,0.0011,0.00129,0.00309,0.00047,0.00055,0.00666,0.00114,0.00115,0.30972,0.02152,0.02072,2,1,0,0
2460715.567,0.00048,0.00083,0.1517,0.016,0.01614,0.00795,0.00078,0.00083,0.00121,0.00012,0.00013,2460715.566,0.0002,0.00039,0.00028,0.00016,0.00042,0.00597,0.00088,0.00093,0.22002,0.02622,0.03041,6,1,0,0
2460715.663,0.00091,0.00093,0.10848,0.0145,0.01517,0.00978,0.00124,0.0013,0.00106,0.00014,0.00014,2460715.661,0.00051,0.00083,0.00065,0.00037,0.00053,0.00678,0.00169,0.00194,0.16415,0.02914,0.03699,0,1,0,0
2460720.276,0.00067,0.00065,0.12571,0.00645,0.00653,0.01899,0.00133,0.00139,0.00239,0.00017,0.00017,2460720.275,0.00136,0.00138,0.00499,0.00083,0.00094,0.00656,0.00097,0.00109,0.28213,0.01722,0.01769,2,0,0,1
2460720.38,0.00047,0.00051,0.09148,0.00851,0.00909,0.00983,0.00103,0.00108,0.0009,0.00009,0.0001,2460720.378,0.00041,0.00053,0.00101,0.00035,0.00048,0.00601,0.00104,0.00115,0.15218,0.01851,0.02085,3,0,0,1
2460720.503,0.00146,0.00205,0.09817,0.02613,0.02958,0.01638,0.00412,0.00654,0.00161,0.0004,0.00064,2460720.501,0.00139,0.00415,0.00216,0.00146,0.00766,0.00832,0.00292,0.00332,0.1732,0.0394,0.0504,6,1,0,0
2460720.609,0.00045,0.00107,0.11467,0.03188,0.02843,0.00873,0.00182,0.00262,0.001,0.00021,0.0003,2460720.608,0.00042,0.00044,0.00036,0.00025,0.00157,0.00616,0.00191,0.00292,0.16416,0.03669,0.04385,0,1,0,0
2460723.589,0.00022,0.00023,0.13488,0.01507,0.01573,0.00343,0.00039,0.0004,0.00046,0.00005,0.00005,2460723.588,0.00031,0.00037,0.0006,0.00017,0.00025,0.00156,0.00036,0.00042,0.27799,0.04128,0.0439,6,1,0,0
2460723.7,0.00034,0.00041,0.11175,0.01137,0.01209,0.00804,0.00086,0.00091,0.0009,0.0001,0.0001,2460723.699,0.00014,0.00015,0.00013,0.00009,0.00014,0.00685,0.00101,0.00118,0.13952,0.0159,0.01754,0,1,0,0
2460725.557,0.00078,0.00092,0.0729,0.0094,0.00992,0.00721,0.00102,0.0011,0.00053,0.00007,0.00008,2460725.556,0.00094,0.00151,0.00121,0.0005,0.00072,0.00355,0.00114,0.00136,0.13503,0.02527,0.02582,0,1,0,0
2460726.548,0.00022,0.00022,0.11416,0.00806,0.0082,0.00595,0.00045,0.00049,0.00068,0.00005,0.00006,2460726.547,0.00018,0.00019,0.00046,0.00012,0.00015,0.00395,0.00051,0.00058,0.18085,0.01762,0.01899,3,1,0,0
2460726.673,0.00028,0.00028,0.11453,0.00974,0.00999,0.0062,0.00055,0.00059,0.00071,0.00006,0.00007,2460726.672,0.00013,0.00017,0.00028,0.00011,0.00014,0.00472,0.0007,0.00077,0.16049,0.01751,0.01987,6,1,0,0
2460727.676,0.00116,0.00131,0.18249,0.03335,0.02054,0.01087,0.00141,0.00109,0.00198,0.00026,0.0002,2460727.675,0.00161,0.00194,0.00238,0.00065,0.00078,0.00433,0.00082,0.00085,0.42059,0.08777,0.05639,2,1,0,0
2460727.782,0.0007,0.00065,0.11884,0.01579,0.01653,0.00738,0.00101,0.00121,0.00088,0.00012,0.00014,2460727.781,0.00115,0.00138,0.00148,0.00056,0.00071,0.00309,0.00112,0.00176,0.24418,0.0508,0.04939,3,1,0,0
2460728.293,0.00035,0.00034,0.12226,0.00316,0.00315,0.01448,0.00046,0.00046,0.00177,0.00006,0.00006,2460728.292,0.00065,0.00067,0.00309,0.00036,0.00039,0.00594,0.00053,0.00056,0.26405,0.01035,0.01003,2,0,0,1
2460728.399,0.00013,0.00013,0.13752,0.00658,0.00676,0.00495,0.00025,0.00026,0.00068,0.00003,0.00004,2460728.398,0.00018,0.0002,0.0007,0.00011,0.00013,0.00258,0.0003,0.00032,0.2675,0.01988,0.02166,3,0,0,1
2460728.524,0.00023,0.00025,0.11219,0.00828,0.00867,0.00552,0.00046,0.00049,0.00062,0.00005,0.00005,2460728.523,0.00021,0.00025,0.00048,0.00013,0.00017,0.00354,0.00056,0.00065,0.18248,0.02086,0.02322,6,1,0,0
2460728.646,0.00025,0.00031,0.09571,0.00833,0.00918,0.00638,0.00054,0.00057,0.00061,0.00005,0.00005,2460728.645,0.00021,0.0003,0.00067,0.00026,0.0004,0.00385,0.00058,0.00063,0.161,0.01709,0.01875,0,1,0,0
2460729.527,0.00073,0.00059,0.14441,0.0118,0.01172,0.01112,0.00066,0.00065,0.00161,0.00009,0.00009,2460729.526,0.0013,0.00115,0.0024,0.00045,0.00046,0.00437,0.00091,0.0013,0.32231,0.047,0.03927,2,1,0,0
2460729.632,0.00026,0.00021,0.14999,0.00916,0.00986,0.0055,0.00044,0.00048,0.00082,0.00007,0.00007,2460729.631,0.00031,0.00024,0.00058,0.00016,0.00016,0.00326,0.00044,0.0005,0.26844,0.02619,0.02824,3,1,0,0
2460729.759,0.00034,0.00035,0.08673,0.00874,0.00858,0.00618,0.00068,0.00072,0.00054,0.00006,0.00006,2460729.758,0.00035,0.00039,0.00066,0.00018,0.00023,0.00378,0.00072,0.0008,0.14464,0.02023,0.0213,6,1,0,0
2460730.765,0.00074,0.00057,0.117,0.00734,0.00774,0.01106,0.00079,0.00082,0.00129,0.00009,0.0001,2460730.767,0.00059,0.0003,0.00734,0.00088,0.00087,0.00085,0.00033,0.00047,0.18548,0.01636,0.01888,2,1,0,0
2460730.766,0.00028,0.00026,0.17385,0.00782,0.00792,0.00902,0.00042,0.00043,0.00157,0.00007,0.00007,2460730.767,0.00018,0.00015,0.00615,0.00041,0.00043,0.00056,0.00013,0.00017,0.28121,0.01618,0.01715,2,0,1,0
2460730.866,0.00039,0.00036,0.15185,0.01119,0.01165,0.00613,0.00051,0.00053,0.00093,0.00008,0.00008,2460730.865,0.0005,0.0006,0.00097,0.0003,0.00038,0.00295,0.00053,0.00062,0.31114,0.03573,0.03538,3,0,1,0
2460731.482,0.00068,0.00057,0.1286,0.0119,0.01218,0.00858,0.00086,0.00087,0.0011,0.00011,0.00011,2460731.481,0.00057,0.00065,0.00086,0.00032,0.00035,0.00522,0.00091,0.00107,0.2208,0.03484,0.03806,3,1,0,0
2460731.608,0.00022,0.0002,0.09986,0.01124,0.01191,0.00301,0.00037,0.0004,0.0003,0.00004,0.00004,2460731.607,0.0002,0.00025,0.00031,0.00011,0.00014,0.00185,0.00047,0.00054,0.16642,0.02785,0.03386,6,1,0,0
2460731.738,0.00043,0.00036,0.10216,0.01466,0.01701,0.00701,0.00124,0.00154,0.00072,0.00013,0.00016,2460731.737,0.00077,0.00096,0.00116,0.00043,0.00057,0.00351,0.00165,0.00212,0.19385,0.04266,0.05773,0,0,1,0
2460732.615,0.00047,0.00047,0.11457,0.00434,0.00424,0.01336,0.00054,0.00055,0.00153,0.00006,0.00006,2460732.616,0.00088,0.0008,0.00543,0.00058,0.00063,0.00291,0.00045,0.0005,0.24593,0.01287,0.01212,2,1,0,0
2460732.717,0.00021,0.00021,0.1323,0.00598,0.00619,0.00623,0.0003,0.0003,0.00082,0.00004,0.00004,2460732.717,0.00045,0.00043,0.002,0.00025,0.00026,0.00176,0.00028,0.00031,0.30173,0.01585,0.01645,3,1,0,0
2460733.592,0.0006,0.00047,0.08639,0.0114,0.01234,0.00454,0.00054,0.00058,0.00039,0.00005,0.00005,2460733.592,0.00125,0.00074,0.00171,0.00052,0.00054,0.00106,0.0005,0.00095,0.17324,0.02687,0.0259,0,1,0,0
2460737.159,0.00045,0.00026,0.10318,0.0094,0.01035,0.00332,0.00032,0.00035,0.00034,0.00003,0.00004,2460737.158,0.00016,0.00022,0.00021,0.00017,0.00015,0.00241,0.00053,0.00056,0.14965,0.0209,0.02716,6,0,0,1
2460738.166,0.00064,0.00063,0.10797,0.00524,0.0053,0.01473,0.00082,0.00082,0.00159,0.00009,0.00009,2460738.167,0.0013,0.0012,0.00555,0.00087,0.00097,0.00354,0.00065,0.00074,0.23385,0.01547,0.0151,2,0,0,1
2460738.269,0.00033,0.00032,0.09281,0.0032,0.00336,0.01177,0.00049,0.00051,0.00109,0.00005,0.00005,2460738.27,0.00066,0.00062,0.00441,0.00046,0.0005,0.0029,0.00037,0.0004,0.19928,0.00854,0.00866,3,0,0,1
2460738.393,0.00021,0.0002,0.07367,0.00661,0.0069,0.00417,0.00039,0.00042,0.00031,0.00003,0.00003,2460738.393,0.00042,0.00044,0.00107,0.00021,0.00026,0.00154,0.00039,0.00046,0.15386,0.01692,0.01728,6,0,0,1
2460739.398,0.00054,0.00056,0.11035,0.00357,0.00355,0.01334,0.00049,0.0005,0.00147,0.00005,0.00006,2460739.396,0.00079,0.00092,0.0024,0.0004,0.00046,0.00619,0.00069,0.0007,0.2237,0.01448,0.01441,2,0,0,1
2460745.565,0.00245,0.00281,0.10365,0.01149,0.0119,0.02776,0.00654,0.00827,0.00288,0.00068,0.00086,2460745.561,0.00094,0.00203,0.00126,0.00086,0.00134,0.0212,0.00687,0.00834,0.14459,0.02066,0.02746,2,1,0,0
2460754.817,0.00064,0.00068,0.11234,0.00806,0.00839,0.01225,0.00092,0.00098,0.00138,0.0001,0.00011,2460754.815,0.00046,0.00057,0.00093,0.00029,0.00037,0.0082,0.00109,0.00119,0.17654,0.01816,0.01967,2,0,1,0
2460756.669,0.00131,0.00118,0.10147,0.00854,0.00928,0.01621,0.00148,0.00158,0.00164,0.00015,0.00016,2460756.667,0.00131,0.00185,0.00238,0.00104,0.00108,0.00865,0.00186,0.00202,0.18708,0.02567,0.02632,2,1,0,0
2460756.665,0.00065,0.00072,0.07291,0.00585,0.00572,0.04208,0.00359,0.0036,0.00307,0.00026,0.00026,2460756.664,0.00024,0.00023,0.00022,0.00014,0.00017,0.03941,0.00097,0.00044,0.08147,0.00686,0.00689,2,0,1,0
2460757.903,0.00225,0.00137,0.09267,0.00776,0.00836,0.01763,0.00194,0.00216,0.00163,0.00018,0.0002,2460757.9,0.00177,0.0019,0.00216,0.00132,0.00132,0.01018,0.0021,0.00298,0.15935,0.02877,0.02499,2,0,1,0
2460759.753,0.00063,0.00064,0.09465,0.00856,0.00887,0.01006,0.00089,0.00092,0.00095,0.00008,0.00009,2460759.752,0.00082,0.00093,0.00158,0.00039,0.00051,0.00502,0.00089,0.00109,0.18074,0.02293,0.02274,2,0,1,0
2460767.153,0.00055,0.00058,0.13122,0.0096,0.00977,0.01247,0.00143,0.00156,0.00164,0.00019,0.0002,2460767.151,0.00027,0.00032,0.00073,0.00031,0.00039,0.00887,0.00107,0.00119,0.1977,0.01909,0.02074,2,0,0,1
2460784.42,0.00048,0.00047,0.09447,0.00958,0.01006,0.00768,0.00091,0.00096,0.00073,0.00009,0.00009,2460784.419,0.00051,0.0006,0.00089,0.00026,0.00036,0.00448,0.00101,0.00116,0.16322,0.02395,0.02777,2,1,0,0
2460785.652,0.00093,0.00116,0.0672,0.01362,0.01473,0.0057,0.00122,0.00144,0.00038,0.00008,0.0001,2460785.651,0.00064,0.00151,0.00055,0.00036,0.00061,0.00358,0.00148,0.0019,0.10534,0.02757,0.03404,2,1,0,0
2460790.587,0.00049,0.00047,0.07354,0.00719,0.00746,0.00697,0.00072,0.00077,0.00051,0.00005,0.00006,2460790.586,0.0009,0.00102,0.0016,0.00041,0.00052,0.00279,0.00085,0.00104,0.14955,0.02066,0.02032,2,1,0,0
2460792.435,0.00058,0.00047,0.07905,0.00783,0.00817,0.00653,0.00072,0.00081,0.00052,0.00006,0.00006,2460792.434,0.00044,0.00054,0.00059,0.00026,0.00029,0.00427,0.00101,0.00123,0.12339,0.01999,0.0233,2,1,0,0
2460800.451,0.00137,0.00171,0.05858,0.01543,0.01586,0.007,0.00169,0.0019,0.00041,0.0001,0.00011,2460800.45,0.00198,0.00275,0.00182,0.00108,0.00218,0.00246,0.00114,0.00174,0.10772,0.0336,0.03552,2,1,0,0